MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0.0,0.65400058,0.0,0.651881099
0.0,0.640632212,0.0,0.662853241
0.0,0.674216628,0.0,0.688196063
0.0,0.591154337,0.0,0.530139506
0.0,0.498415291,0.0,0.557922244
0.0,0.539107561,0.0,0.685596406
0.0,0.597886682,0.0,0.675387621
0.0,0.524519503,0.0,0.555113554
0.2175,0.714665174,0.2258,0.545945764
0.4081,0.201284081,0.4428,0.233014196
0.5613,0.012974607,0.5538,0.115340397
0.5322,0.034633961,0.6097,0.066541314
0.5679,0.082750432,0.6059,0.047794882
0.5247,0.036179084,0.5139,0.032758825
0.4229,0.006105063,0.4232,0.059398096
0.3114,0.173815444,0.363,0.144726574
0.109,0.260041893,0.1806,0.365451872
0.0,0.468751878,0.0,0.650975525
0.0,0.784515142,0.0,0.780547857
0.0,0.355991662,0.0,0.814909935
0.0,0.604112744,0.0,0.783736229
0.0,0.527206779,0.0,0.812947273
0.0,0.685887396,0.0,0.777409554
0.0,0.618583739,0.0,0.804257452
0.0,0.674788058,0.0,0.832141697
0.0,0.91023761,0.0,0.825002253
0.0,0.839853764,0.0,0.878274798
0.0,0.8865906,0.0,0.925702214
0.0,0.94504863,0.0,0.900026917
0.0,0.863669157,0.0,0.867172003
0.0,0.646323919,0.0,0.851862907
0.0,0.25566262,0.0,0.962050557
0.109,0.324984014,0.1325,0.968221545
0.3235,0.710196197,0.3044,0.936753988
0.3563,0.438852191,0.3022,0.894410849
0.3784,0.312287986,0.4041,0.729316831
0.3346,0.569212019,0.2614,0.705880165
0.2609,0.766024351,0.2753,0.748093069
0.2381,0.711729348,0.1934,0.817127466
0.1307,0.659122467,0.2166,0.8403548
0.0266,0.482714176,0.0182,0.906592369
0.0,0.74608326,0.0,0.94518286
0.0,0.817704558,0.0,0.897846878
0.0,0.881676972,0.0,0.937956572
0.0,0.923290074,0.0,0.908633113
0.0,0.881124794,0.0,0.971499681
0.0,0.837216139,0.0,0.997881591
0.0,0.935307026,0.0,0.981252551
