Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source
1,14.05803,13.68269,16.82186,2.79796
2,14.05803,13.68269,16.82186,2.79796
3,14.05803,13.68269,16.82186,2.79796
4,14.05803,13.68269,16.82186,2.79796
5,14.05803,13.68269,16.82186,2.79796
6,14.05803,13.68269,16.82186,2.79796
7,14.05803,13.68269,16.82186,2.79796
8,14.05803,13.68269,16.82186,2.79796
9,14.05803,13.68269,16.82186,2.79796
10,14.05803,13.68269,16.82186,2.79796
11,14.05803,13.68269,16.82186,2.79796
12,14.05803,13.68269,16.82186,2.79796
13,14.05803,13.68269,16.82186,2.79796
14,14.05803,13.68269,16.82186,2.79796
15,14.05803,13.68269,16.82186,2.79796
16,14.05803,13.68269,16.82186,2.79796
17,14.05803,13.68269,16.82186,2.79796
18,14.05803,13.68269,16.82186,2.79796
19,14.05803,13.68269,16.82186,2.79796
20,14.05803,13.68269,16.82186,2.79796
21,14.05803,13.68269,16.82186,2.79796
22,14.05803,13.68269,16.82186,2.79796
23,14.05803,13.68269,16.82186,2.79796
24,14.05803,13.68269,16.82186,2.79796
25,14.05803,13.68269,16.82186,2.79796
26,14.05803,13.68269,16.82186,2.79796
27,14.05803,13.68269,16.82186,2.79796
28,14.05803,13.68269,16.82186,2.79796
29,14.05803,13.68269,16.82186,2.79796
30,14.05803,13.68269,16.82186,2.79796
31,14.05803,13.68269,16.82186,2.79796
32,14.05803,13.68269,16.82186,2.79796
33,14.05803,13.68269,16.82186,2.79796
34,14.05803,13.68269,16.82186,2.79796
35,14.05803,13.68269,16.82186,2.79796
36,14.05803,13.68269,16.82186,2.79796
37,14.05803,13.68269,16.82186,2.79796
38,14.05803,13.68269,16.82186,2.79796
39,14.05803,13.68269,16.82186,2.79796
40,14.05803,13.68269,16.82186,2.79796
41,14.05803,13.68269,16.82186,2.79796
42,14.05803,13.68269,16.82186,2.79796
43,14.05803,13.68269,16.82186,2.79796
44,14.05803,13.68269,16.82186,2.79796
45,14.05803,13.68269,16.82186,2.79796
46,14.05803,13.68269,16.82186,2.79796
47,14.05803,13.68269,16.82186,2.79796
48,14.05803,13.68269,16.82186,2.79796
49,14.05803,13.68269,16.82186,2.79796
50,14.05803,13.68269,16.82186,2.79796
51,14.05803,13.68269,16.82186,2.79796
52,14.05803,13.68269,16.82186,2.79796
53,14.05803,13.68269,16.82186,2.79796
54,14.05803,13.68269,16.82186,2.79796
55,14.05803,13.68269,16.82186,2.79796
56,14.05803,13.68269,16.82186,2.79796
57,14.05803,13.68269,16.82186,2.79796
58,14.05803,13.68269,16.82186,2.79796
59,14.05803,13.68269,16.82186,2.79796
60,14.05803,13.68269,16.82186,2.79796
61,14.05803,13.68269,16.82186,2.79796
62,14.05803,13.68269,16.82186,2.79796
63,14.05803,13.68269,16.82186,2.79796
64,14.05803,13.68269,16.82186,2.79796
65,14.05803,13.68269,16.82186,2.79796
66,14.05803,13.68269,16.82186,2.79796
67,14.05803,13.68269,16.82186,2.79796
68,14.05803,13.68269,16.82186,2.79796
69,14.05803,13.68269,16.82186,2.79796
70,14.05803,13.68269,16.82186,2.79796
71,14.05803,13.68269,16.82186,2.79796
72,14.05803,13.68269,16.82186,2.79796
73,14.05803,13.68269,16.82186,2.79796
74,14.05803,13.68269,16.82186,2.79796
75,14.05803,13.68269,16.82186,2.79796
76,14.05803,13.68269,16.82186,2.79796
77,14.05803,13.68269,16.82186,2.79796
78,14.05803,13.68269,16.82186,2.79796
79,14.05803,13.68269,16.82186,2.79796
80,14.05803,13.68269,16.82186,2.79796
81,14.05803,13.68269,16.82186,2.79796
82,14.05803,13.68269,16.82186,2.79796
83,14.05803,13.68269,16.82186,2.79796
84,14.05803,13.68269,16.82186,2.79796
85,14.05803,13.68269,16.82186,2.79796
86,14.05803,13.68269,16.82186,2.79796
87,14.05803,13.68269,16.82186,2.79796
88,14.05803,13.68269,16.82186,2.79796
89,14.05803,13.68269,16.82186,2.79796
90,14.05803,13.68269,16.82186,2.79796
91,14.05803,13.68269,16.82186,2.79796
92,14.05803,13.68269,16.82186,2.79796
93,14.05803,13.68269,16.82186,2.79796
94,14.05803,13.68269,16.82186,2.79796
95,14.05803,13.68269,16.82186,2.79796
