elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
12965.0,53793.0,11538.0,4632.0,2759.0,3243.0,6885.0,9940.0,6637.0,16537.0,3055.0
12326.0,53461.0,11004.0,4459.0,2629.0,3127.0,6794.0,9792.0,6385.0,16345.0,2989.0
11364.0,50600.0,10238.0,4167.0,2434.0,2961.0,6480.0,9313.0,5988.0,15605.0,2863.0
10344.0,47377.0,9644.0,3867.0,2252.0,2760.0,6173.0,8779.0,5523.0,14697.0,2757.0
9571.0,43624.0,9158.0,3564.0,2093.0,2593.0,5801.0,8166.0,5061.0,13609.0,2678.0
9085.0,39086.0,8836.0,3370.0,2014.0,2486.0,5393.0,7462.0,4827.0,12416.0,2650.0
8776.0,35746.0,8753.0,3269.0,1973.0,2428.0,5075.0,6892.0,4719.0,11478.0,2676.0
8652.0,33543.0,8611.0,3181.0,1922.0,2423.0,4850.0,6584.0,4638.0,10922.0,2663.0
8862.0,31962.0,8625.0,3190.0,1961.0,2465.0,4694.0,6440.0,4628.0,10658.0,2654.0
9577.0,31202.0,8926.0,3325.0,2027.0,2574.0,4659.0,6406.0,4775.0,10559.0,2630.0
10852.0,31285.0,9730.0,3686.0,2284.0,2789.0,4774.0,6586.0,5263.0,10945.0,2635.0
11707.0,33463.0,10493.0,4174.0,2562.0,2954.0,4960.0,7254.0,6025.0,11936.0,2740.0
12111.0,38089.0,11223.0,4479.0,2693.0,3139.0,5437.0,8239.0,6513.0,13664.0,2891.0
12058.0,43533.0,11356.0,4528.0,2675.0,3225.0,5725.0,9019.0,6558.0,14879.0,2989.0
11883.0,47646.0,11255.0,4559.0,2622.0,3317.0,6028.0,9224.0,6653.0,15192.0,3208.0
11571.0,50032.0,10883.0,4498.0,2559.0,3316.0,6234.0,9212.0,6605.0,15106.0,3239.0
11399.0,50072.0,10697.0,4415.0,2504.0,3285.0,6204.0,9131.0,6512.0,14941.0,3221.0
11252.0,49949.0,10475.0,4319.0,2486.0,3230.0,6079.0,9014.0,6360.0,14686.0,3163.0
11074.0,49821.0,10440.0,4225.0,2454.0,3145.0,6013.0,8847.0,6262.0,14385.0,3141.0
11243.0,49027.0,10686.0,4195.0,2491.0,3091.0,5949.0,8747.0,6244.0,14169.0,3183.0
11561.0,47424.0,11024.0,4146.0,2585.0,2949.0,5888.0,8509.0,6130.0,13781.0,3014.0
12459.0,46658.0,11863.0,4363.0,2753.0,3092.0,5909.0,8561.0,6380.0,13944.0,3009.0
13386.0,48199.0,12363.0,4654.0,2893.0,3296.0,6253.0,8931.0,6698.0,14729.0,3103.0
13326.0,53018.0,12280.0,4746.0,2855.0,3317.0,6778.0,9594.0,6689.0,15836.0,3087.0
12853.0,56218.0,11948.0,4660.0,2753.0,3218.0,6965.0,9892.0,6541.0,16329.0,3046.0
12361.0,55451.0,11418.0,4473.0,2628.0,3124.0,6934.0,9740.0,6323.0,16104.0,2984.0
11373.0,52515.0,10617.0,4191.0,2439.0,2943.0,6653.0,9384.0,5952.0,15450.0,2829.0
10347.0,49121.0,9948.0,3879.0,2263.0,2746.0,6350.0,8814.0,5477.0,14529.0,2783.0
9651.0,44780.0,9285.0,3591.0,2124.0,2592.0,6024.0,8217.0,5098.0,13530.0,2702.0
9178.0,40368.0,8943.0,3389.0,2032.0,2507.0,5556.0,7569.0,4835.0,12368.0,2658.0
8923.0,36632.0,8817.0,3286.0,1993.0,2451.0,5256.0,6990.0,4683.0,11490.0,2688.0
8848.0,34240.0,8750.0,3232.0,1952.0,2437.0,5015.0,6714.0,4657.0,11012.0,2709.0
9125.0,32436.0,8707.0,3233.0,1979.0,2474.0,4939.0,6592.0,4691.0,10766.0,2666.0
9848.0,31411.0,9030.0,3377.0,2051.0,2546.0,4902.0,6523.0,4867.0,10671.0,2664.0
11252.0,31831.0,9804.0,3736.0,2307.0,2755.0,4960.0,6746.0,5389.0,11081.0,2682.0
12235.0,33883.0,10536.0,4238.0,2596.0,2985.0,5192.0,7408.0,6059.0,12161.0,2746.0
12682.0,38435.0,11333.0,4554.0,2706.0,3173.0,5693.0,8418.0,6576.0,13917.0,2912.0
12366.0,43777.0,11535.0,4602.0,2686.0,3236.0,5940.0,9203.0,6543.0,15335.0,3015.0
12169.0,47676.0,11571.0,4598.0,2622.0,3331.0,6245.0,9391.0,6617.0,15619.0,3190.0
11824.0,50026.0,11321.0,4555.0,2559.0,3333.0,6389.0,9379.0,6616.0,15381.0,3270.0
11559.0,49850.0,11141.0,4465.0,2510.0,3300.0,6331.0,9311.0,6544.0,15036.0,3240.0
11302.0,49346.0,11063.0,4371.0,2463.0,3254.0,6200.0,9182.0,6464.0,14692.0,3217.0
11026.0,48937.0,10916.0,4273.0,2428.0,3181.0,6111.0,9097.0,6348.0,14407.0,3180.0
11095.0,48836.0,11065.0,4252.0,2460.0,3118.0,6005.0,8937.0,6301.0,14152.0,3206.0
11195.0,47954.0,11244.0,4231.0,2551.0,2991.0,6031.0,8697.0,6210.0,13793.0,3007.0
12074.0,47474.0,12023.0,4449.0,2735.0,3120.0,6105.0,8777.0,6471.0,13982.0,3030.0
13229.0,49590.0,12504.0,4746.0,2899.0,3330.0,6477.0,9208.0,6886.0,14862.0,3148.0
13254.0,53765.0,12431.0,4827.0,2876.0,3341.0,6936.0,9827.0,6856.0,16039.0,3141.0
12801.0,56558.0,12026.0,4714.0,2774.0,3259.0,7110.0,10053.0,6672.0,16482.0,3075.0
