No_fuel,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_coal,pacific_naturalgas,pacific_uranium
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
0.0,4.6064,14.1945,2.1155,4.7429,14.604,2.1155
